trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
11,True,"{'a': 0.35, 'e': 0}",20,10,18.14946357560134,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.35, 'e': 0}",20,11,16.592232858340722,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.35, 'e': 0}",20,9,22.5524067543439,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.35, 'e': 0}",20,13,13.960010884052142,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.35, 'e': 0}",30,20,20.221208896640043,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.35, 'e': 0}",30,18,23.254081364599738,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.35, 'e': 0}",20,8,22.765123723221436,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.35, 'e': 0}",25,7,34.5592050837469,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.35, 'e': 0}",25,13,22.18041407083409,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.35, 'e': 0}",20,10,18.850108744039698,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
